The,0.006250473651213581
Fulton,1.4640128419761762e-05
County,7.32006420988088e-05
Grand,1.550131244445363e-05
Jury,3.4447360987674734e-06
said,0.0016732805599763002
Friday,5.16710414815121e-05
an,0.0030503138154585976
investigation,3.703091306175034e-05
of,0.03107151961088261
Atlanta's,3.4447360987674734e-06
recent,0.00014381773212354202
primary,8.009011429634375e-05
election,6.200524977781452e-05
produced,7.750656222226816e-05
``,0.00761028322620204
no,0.0015337687479762174
evidence,0.00017309798896306553
'',0.007568946393016831
that,0.008815940860770656
any,0.0011204004161241207
irregularities,6.889472197534947e-06
took,0.00036600321049404407
place,0.0004547051650373065
.,0.042495986882444936
jury,5.425459355558771e-05
further,0.00016706970079022245
in,0.01682409110638034
term-end,8.611840246918683e-07
presentments,8.611840246918683e-07
the,0.05400743374050114
City,0.00011539865930871036
Executive,7.750656222226815e-06
Committee,7.578419417288441e-05
",",0.050236308896375446
which,0.003048591447409214
had,0.0043937608939779126
over-all,3.0141440864215392e-05
charge,0.0001033420829630242
deserves,1.3778944395069893e-05
praise,1.4640128419761762e-05
and,0.024039952049273505
thanks,2.3251968666680445e-05
Atlanta,3.0141440864215392e-05
for,0.007613727962300808
manner,0.00010678681906179167
was,0.008419796209412397
conducted,4.736512135805276e-05
September-October,8.611840246918683e-07
term,6.80335379506576e-05
been,0.002127124540988915
charged,4.90874894074365e-05
by,0.004394622078002604
Superior,1.3778944395069893e-05
Court,9.473024271610552e-05
Judge,3.358617696298287e-05
Durwood,8.611840246918683e-07
Pye,8.611840246918683e-07
to,0.022159987323371155
investigate,9.473024271610552e-06
reports,6.717235392596574e-05
possible,0.0003212216412100669
hard-fought,1.7223680493837367e-06
won,5.856051367904705e-05
Mayor-nominate,8.611840246918683e-07
Ivan,3.4447360987674734e-06
Allen,1.7223680493837367e-05
Jr.,6.458880185189013e-05
Only,8.784077051857058e-05
a,0.01884356764428277
relative,3.789209708644221e-05
handful,1.1195392320994288e-05
such,0.0010265313574327071
received,0.00014037299602477453
considering,3.358617696298287e-05
widespread,2.583552074075605e-05
interest,0.00027816243997547346
number,0.0004021729395311025
voters,1.550131244445363e-05
size,0.00011884339540747784
this,0.00341545584192795
city,0.00022304666239519392
it,0.005789740198003431
did,0.0008560169205437171
find,0.000340167689753288
many,0.0007965952228399782
Georgia's,7.750656222226815e-06
registration,1.9807232567912972e-05
laws,7.492301014819255e-05
are,0.0037315103789898655
outmoded,3.4447360987674734e-06
or,0.003546355813681114
inadequate,2.7557888790139787e-05
often,0.00030055322461746206
ambiguous,1.8946048543221104e-05
It,0.0017542318582973357
